stock_symbol,name_stock
1010.SR,الرياض
1020.SR,الجزيرة
1030.SR,الإستثمار
1050.SR,السعودي الفرنسي
1060.SR,الأول
1080.SR,العربي
1111.SR,مجموعة تداول
1120.SR,الراجحي
1140.SR,البلاد
1150.SR,الإنماء
1180.SR,الأهلي
1182.SR,أملاك
1183.SR,سهل
1201.SR,تكوين
1202.SR,مبكو
1210.SR,بي سي اي
1211.SR,معادن
1212.SR,أسترا الصناعية
1213.SR,نسيج
1214.SR,شاكر
1301.SR,أسلاك
1302.SR,بوان
1303.SR,صناعات كهربائية
1304.SR,اليمامة للحديد
1320.SR,أنابيب السعودية
1321.SR,أنابيب الشرق
1322.SR,أماك
1810.SR,سيرا
1820.SR,مجموعة الحكير
1830.SR,وقت اللياقة
1831.SR,مهارة
1832.SR,صدر
1833.SR,الموارد
2001.SR,كيمانول
2010.SR,سابك
2020.SR,سابك للمغذيات الزراعية
2030.SR,المصافي
2040.SR,الخزف السعودي
2050.SR,مجموعة صافولا
2060.SR,التصنيع
2070.SR,الدوائية
2080.SR,الغاز
2081.SR,الخريف
2082.SR,أكوا باور
2083.SR,مرافق
2090.SR,جبسكو
2100.SR,وفرة
2110.SR,الكابلات السعودية
2120.SR,متطورة
2130.SR,صدق
2140.SR,أيان
2150.SR,زجاج
2160.SR,أميانتيت
2170.SR,اللجين
2180.SR,فيبكو
2190.SR,سيسكو القابضة
2200.SR,أنابيب
2210.SR,نماء للكيماويات
2220.SR,معدنية
2222.SR,أرامكو السعودية
2223.SR,لوبريف
2230.SR,الكيميائية
2240.SR,الزامل للصناعة
2250.SR,المجموعة السعودية
2270.SR,سدافكو
2280.SR,المراعي
2281.SR,تنمية
2282.SR,نقي
2283.SR,المطاحن الأولى
2284.SR,المطاحن الحديثة
2290.SR,ينساب
2300.SR,صناعة الورق
2310.SR,سبكيم العالمية
2320.SR,البابطين
2330.SR,المتقدمة
2340.SR,العبداللطيف
2350.SR,كيان السـعودية
2360.SR,الفخارية
2370.SR,مسك
2380.SR,بترو رابغ
2381.SR,الحفر العربية
2382.SR,أديس
3001.SR,أسمنت حائل
3002.SR,أسمنت نجران
3003.SR,أسمنت المدينة
3004.SR,أسمنت الشمالية
3005.SR,أسمنت ام القرى
3007.SR,الواحة
3008.SR,الكثيري
3010.SR,أسمنت العربية
3020.SR,أسمنت اليمامة
3030.SR,أسمنت السعودية
3040.SR,أسمنت القصيم
3050.SR,أسمنت الجنوب
3060.SR,أسمنت ينبع
3080.SR,أسمنت الشرقية
3090.SR,أسمنت تبوك
3091.SR,أسمنت الجوف
3092.SR,أسمنت الرياض
4001.SR,أسواق ع العثيم
4002.SR,المواساة
4003.SR,إكسترا
4004.SR,دله الصحية
4005.SR,رعاية
4006.SR,أسواق المزرعة
4007.SR,الحمادي
4008.SR,ساكو
4009.SR,السعودي الألماني الصحية
4010.SR,دور
4011.SR,لازوردي
4012.SR,الأصيل
4013.SR,سليمان الحبيب
4014.SR,دار المعدات
4015.SR,جمجوم فارما
4016.SR,أفالون فارما
4020.SR,العقارية
